esco_code,esco_title,normalized_title,esco_occupation_uri,esco_title_matrix,top_skill_groups,top_skill_groups_weighted,top_skill_count,mapping_status,masco_candidate_code,masco_unit_group_title_en,masco_mapping_status,jobhop_record_count,work_length_median_years,work_length_mean_years,work_length_p25_years,work_length_p75_years
2422.12.8,housing policy officer,housing policy officer,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,"advising on legal, regulatory or procedural matters | monitoring developments in area of expertise | assessing land or real estate | developing operational policies and procedures | developing solutions | developing policies and legislation | analysing and evaluating information and data | management skills | advising and consulting | advocating for individual or community needs | collaborating and liaising | developing professional relationships or networks | conducting academic or market research | advising on products and services | monitoring, inspecting and testing | monitoring operational activities","advising on legal, regulatory or procedural matters::0.161290 | monitoring developments in area of expertise::0.096774 | assessing land or real estate::0.096774 | developing operational policies and procedures::0.064516 | developing solutions::0.064516 | developing policies and legislation::0.064516 | analysing and evaluating information and data::0.064516 | management skills::0.064516 | advising and consulting::0.064516 | advocating for individual or community needs::0.064516 | collaborating and liaising::0.032258 | developing professional relationships or networks::0.032258 | conducting academic or market research::0.032258 | advising on products and services::0.032258 | monitoring, inspecting and testing::0.032258 | monitoring operational activities::0.032258",16.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,2,7.25,7.25,7.25,7.25
2422.12.9,immigration policy officer,immigration policy officer,http://data.europa.eu/esco/occupation/6b5e5aa6-9bf7-47e6-90d2-4d2187d47d11,immigration policy officer,"developing professional relationships or networks | advocating for individual or community needs | collaborating and liaising | analysing and evaluating information and data | management skills | advising on legal, regulatory or procedural matters | developing solutions | working with others | developing policies and legislation | mediating and resolving disputes | conducting studies, investigations and examinations | analysing business operations | complying with operational procedures | conducting academic or market research | performing risk analysis and management | assisting people to access services | directing, supervising and coordinating projects","developing professional relationships or networks::0.189189 | advocating for individual or community needs::0.108108 | collaborating and liaising::0.081081 | analysing and evaluating information and data::0.081081 | management skills::0.081081 | advising on legal, regulatory or procedural matters::0.081081 | developing solutions::0.054054 | working with others::0.054054 | developing policies and legislation::0.054054 | mediating and resolving disputes::0.027027 | conducting studies, investigations and examinations::0.027027 | analysing business operations::0.027027 | complying with operational procedures::0.027027 | conducting academic or market research::0.027027 | performing risk analysis and management::0.027027 | assisting people to access services::0.027027 | directing, supervising and coordinating projects::0.027027",17.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,3,4.0,2.9166666666666665,2.125,4.25
2422.13,political affairs officer,political affairs officer,http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a,political affairs officer,"advising on legal, regulatory or procedural matters | performing risk analysis and management | mediating and resolving disputes | analysing and evaluating information and data | monitoring developments in area of expertise | advising on business or operational matters | technical or academic writing | maintaining and enforcing physical security | presenting general information | collaborating and liaising | communicating with colleagues and clients | working with others | conducting studies, investigations and examinations | developing policies and legislation | developing professional relationships or networks","advising on legal, regulatory or procedural matters::0.142857 | performing risk analysis and management::0.142857 | mediating and resolving disputes::0.107143 | analysing and evaluating information and data::0.107143 | monitoring developments in area of expertise::0.071429 | advising on business or operational matters::0.071429 | technical or academic writing::0.071429 | maintaining and enforcing physical security::0.035714 | presenting general information::0.035714 | collaborating and liaising::0.035714 | communicating with colleagues and clients::0.035714 | working with others::0.035714 | conducting studies, investigations and examinations::0.035714 | developing policies and legislation::0.035714 | developing professional relationships or networks::0.035714",15.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,1,1.5,1.5,1.5,1.5
2422.14,procurement category specialist,procurement category specialist,http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,"monitoring developments in area of expertise | purchasing goods or services | developing solutions | developing operational policies and procedures | promoting products, services, or programs | analysing business operations | directing, supervising and coordinating projects | technical or academic writing | complying with operational procedures | developing professional relationships or networks | negotiating and managing contracts and agreements | using digital tools for collaboration and productivity | performing risk analysis and management | communicating with colleagues and clients | collaborating and liaising | analysing and evaluating information and data | preparing documentation for contracts, applications, or permits | working in teams","monitoring developments in area of expertise::0.111111 | purchasing goods or services::0.111111 | developing solutions::0.111111 | developing operational policies and procedures::0.083333 | promoting products, services, or programs::0.055556 | analysing business operations::0.055556 | directing, supervising and coordinating projects::0.055556 | technical or academic writing::0.055556 | complying with operational procedures::0.055556 | developing professional relationships or networks::0.055556 | negotiating and managing contracts and agreements::0.055556 | using digital tools for collaboration and productivity::0.027778 | performing risk analysis and management::0.027778 | communicating with colleagues and clients::0.027778 | collaborating and liaising::0.027778 | analysing and evaluating information and data::0.027778 | preparing documentation for contracts, applications, or permits::0.027778 | working in teams::0.027778",18.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,4,0.75,1.125,0.4375,1.4375
2422.15,public procurement specialist,public procurement specialist,http://data.europa.eu/esco/occupation/cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25,public procurement specialist,"negotiating and managing contracts and agreements | complying with operational procedures | preparing documentation for contracts, applications, or permits | purchasing goods or services | developing operational policies and procedures | developing solutions | directing, supervising and coordinating projects | management skills | analysing and evaluating information and data | technical or academic writing | performing risk analysis and management | promoting products, services, or programs | analysing business operations | communicating with colleagues and clients | communication, collaboration and creativity | collaborating and liaising | monitoring developments in area of expertise | working in teams | using digital tools for collaboration and productivity | developing professional relationships or networks | mediating and resolving disputes | supervising a team or group","negotiating and managing contracts and agreements::0.127273 | complying with operational procedures::0.090909 | preparing documentation for contracts, applications, or permits::0.072727 | purchasing goods or services::0.072727 | developing operational policies and procedures::0.054545 | developing solutions::0.054545 | directing, supervising and coordinating projects::0.036364 | management skills::0.036364 | analysing and evaluating information and data::0.036364 | technical or academic writing::0.036364 | performing risk analysis and management::0.036364 | promoting products, services, or programs::0.036364 | analysing business operations::0.036364 | communicating with colleagues and clients::0.036364 | communication, collaboration and creativity::0.036364 | collaborating and liaising::0.036364 | monitoring developments in area of expertise::0.036364 | working in teams::0.036364 | using digital tools for collaboration and productivity::0.036364 | developing professional relationships or networks::0.018182 | mediating and resolving disputes::0.018182 | supervising a team or group::0.018182",22.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,8,2.0,2.8125,0.875,2.6875
2422.16,social service consultant,social service consultant,http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,social service consultant,"advocating for individual or community needs | developing professional relationships or networks | advising on legal, regulatory or procedural matters | collaborating and liaising | monitoring developments in area of expertise | developing objectives and strategies | technical or academic writing | gathering information from physical or electronic sources | management skills | communicating with colleagues and clients | planning events and programmes | presenting general information | monitoring and evaluating the performance of individuals | developing solutions | implementing new procedures or processes | promoting products, services, or programs | complying with operational procedures | advising and consulting","advocating for individual or community needs::0.142857 | developing professional relationships or networks::0.114286 | advising on legal, regulatory or procedural matters::0.114286 | collaborating and liaising::0.057143 | monitoring developments in area of expertise::0.057143 | developing objectives and strategies::0.057143 | technical or academic writing::0.057143 | gathering information from physical or electronic sources::0.057143 | management skills::0.057143 | communicating with colleagues and clients::0.057143 | planning events and programmes::0.028571 | presenting general information::0.028571 | monitoring and evaluating the performance of individuals::0.028571 | developing solutions::0.028571 | implementing new procedures or processes::0.028571 | promoting products, services, or programs::0.028571 | complying with operational procedures::0.028571 | advising and consulting::0.028571",18.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,1,5.0,5.0,5.0,5.0
2422.17,sports programme coordinator,sports programme coordinator,http://data.europa.eu/esco/occupation/7b629a14-09d0-417e-8181-7683923b4e5e,sports programme coordinator,"developing operational policies and procedures | promoting products, services, or programs | planning events and programmes | collaborating and liaising | developing professional relationships or networks | advocating for individual or community needs | allocating and controlling physical resources | developing objectives and strategies | analysing business operations | directing, supervising and coordinating projects | supervising a team or group | communicating with colleagues and clients | directing operational activities | conducting academic or market research | managing budgets or finances | maintaining operational records","developing operational policies and procedures::0.121951 | promoting products, services, or programs::0.097561 | planning events and programmes::0.097561 | collaborating and liaising::0.097561 | developing professional relationships or networks::0.097561 | advocating for individual or community needs::0.097561 | allocating and controlling physical resources::0.073171 | developing objectives and strategies::0.073171 | analysing business operations::0.048780 | directing, supervising and coordinating projects::0.048780 | supervising a team or group::0.024390 | communicating with colleagues and clients::0.024390 | directing operational activities::0.024390 | conducting academic or market research::0.024390 | managing budgets or finances::0.024390 | maintaining operational records::0.024390",16.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,16,4.75,5.59375,1.375,7.625
2422.18,trade development officer,trade development officer,http://data.europa.eu/esco/occupation/c418ed9a-132f-48cd-ae5c-dd375070ee0e,trade development officer,"developing professional relationships or networks | conducting academic or market research | developing policies and legislation | advising on legal, regulatory or procedural matters | promoting products, services, or programs | monitoring operational activities | collaborating and liaising | performing risk analysis and management | management skills | directing, supervising and coordinating projects","developing professional relationships or networks::0.370370 | conducting academic or market research::0.148148 | developing policies and legislation::0.111111 | advising on legal, regulatory or procedural matters::0.074074 | promoting products, services, or programs::0.074074 | monitoring operational activities::0.074074 | collaborating and liaising::0.037037 | performing risk analysis and management::0.037037 | management skills::0.037037 | directing, supervising and coordinating projects::0.037037",10.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,3,1.25,2.6666666666666665,0.75,3.875
2422.2,community development officer,community development officer,http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74,community development officer,"developing professional relationships or networks | advocating for individual or community needs | conducting academic or market research | presenting general information | management skills | identifying opportunities | estimating resource needs | collaborating and liaising | developing objectives and strategies | managing information | protecting and enforcing | advising on legal, regulatory or procedural matters | promoting products, services, or programs | directing, supervising and coordinating projects | advising and consulting","developing professional relationships or networks::0.166667 | advocating for individual or community needs::0.138889 | conducting academic or market research::0.111111 | presenting general information::0.083333 | management skills::0.083333 | identifying opportunities::0.055556 | estimating resource needs::0.055556 | collaborating and liaising::0.055556 | developing objectives and strategies::0.055556 | managing information::0.055556 | protecting and enforcing::0.027778 | advising on legal, regulatory or procedural matters::0.027778 | promoting products, services, or programs::0.027778 | directing, supervising and coordinating projects::0.027778 | advising and consulting::0.027778",15.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,16,1.75,2.453125,0.4375,2.5
2422.3,employment programme coordinator,employment programme coordinator,http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158,employment programme coordinator,"developing professional relationships or networks | promoting products, services, or programs | developing policies and legislation | directing, supervising and coordinating projects | conducting academic or market research | complying with operational procedures | advising on legal, regulatory or procedural matters | collaborating and liaising | analysing financial and economic data | developing solutions | developing operational policies and procedures | managing information | gathering information from physical or electronic sources | management skills | analysing business operations | advocating for individual or community needs | advising on environmental issues","developing professional relationships or networks::0.107143 | promoting products, services, or programs::0.107143 | developing policies and legislation::0.071429 | directing, supervising and coordinating projects::0.071429 | conducting academic or market research::0.071429 | complying with operational procedures::0.071429 | advising on legal, regulatory or procedural matters::0.071429 | collaborating and liaising::0.071429 | analysing financial and economic data::0.071429 | developing solutions::0.035714 | developing operational policies and procedures::0.035714 | managing information::0.035714 | gathering information from physical or electronic sources::0.035714 | management skills::0.035714 | analysing business operations::0.035714 | advocating for individual or community needs::0.035714 | advising on environmental issues::0.035714",17.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,1,4.0,4.0,4.0,4.0
2422.4,EU funds manager,eu funds manager,http://data.europa.eu/esco/occupation/1c85eee2-a8ca-4750-a889-10a3e6c17b80,EU funds manager,"collaborating and liaising | managing budgets or finances | advising on legal, regulatory or procedural matters | analysing financial and economic data | advocating for individual or community needs | negotiating and managing contracts and agreements | directing, supervising and coordinating projects | management skills | analysing and evaluating information and data | ensuring compliance with legislation | monitoring, inspecting and testing | developing objectives and strategies | developing professional relationships or networks | implementing new procedures or processes | communication, collaboration and creativity | estimating resource needs | developing operational policies and procedures | making decisions | maintaining operational records | conducting academic or market research | mediating and resolving disputes | preparing documentation for contracts, applications, or permits | monitoring operational activities | planning events and programmes","collaborating and liaising::0.145455 | managing budgets or finances::0.109091 | advising on legal, regulatory or procedural matters::0.072727 | analysing financial and economic data::0.036364 | advocating for individual or community needs::0.036364 | negotiating and managing contracts and agreements::0.036364 | directing, supervising and coordinating projects::0.036364 | management skills::0.036364 | analysing and evaluating information and data::0.036364 | ensuring compliance with legislation::0.036364 | monitoring, inspecting and testing::0.036364 | developing objectives and strategies::0.036364 | developing professional relationships or networks::0.036364 | implementing new procedures or processes::0.036364 | communication, collaboration and creativity::0.036364 | estimating resource needs::0.036364 | developing operational policies and procedures::0.036364 | making decisions::0.036364 | maintaining operational records::0.036364 | conducting academic or market research::0.018182 | mediating and resolving disputes::0.018182 | preparing documentation for contracts, applications, or permits::0.018182 | monitoring operational activities::0.018182 | planning events and programmes::0.018182",24.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,0,,,,
2422.5,government planning inspector,government planning inspector,http://data.europa.eu/esco/occupation/643a2225-6a01-4899-81b0-e867ca09b9c9,government planning inspector,"advising on legal, regulatory or procedural matters | mediating and resolving disputes | monitoring safety or security | monitoring operational activities | monitoring, inspecting and testing | responding to complaints | technical or academic writing | developing operational policies and procedures | communicating with colleagues and clients | analysing business operations | advising on business or operational matters | ensuring compliance with legislation | managing information | management skills | directing, supervising and coordinating projects | presenting general information | maintaining operational records","advising on legal, regulatory or procedural matters::0.115385 | mediating and resolving disputes::0.076923 | monitoring safety or security::0.076923 | monitoring operational activities::0.076923 | monitoring, inspecting and testing::0.076923 | responding to complaints::0.076923 | technical or academic writing::0.076923 | developing operational policies and procedures::0.076923 | communicating with colleagues and clients::0.038462 | analysing business operations::0.038462 | advising on business or operational matters::0.038462 | ensuring compliance with legislation::0.038462 | managing information::0.038462 | management skills::0.038462 | directing, supervising and coordinating projects::0.038462 | presenting general information::0.038462 | maintaining operational records::0.038462",17.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,1,0.5,0.5,0.5,0.5
2422.6,healthcare consultant,healthcare consultant,http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3,healthcare consultant,"developing professional relationships or networks | implementing new procedures or processes | developing health programmes | analysing business operations | providing medical advice | conducting academic or market research | complying with health and safety procedures | advocating for individual or community needs | leading and motivating | collaborating and liaising | analysing scientific and medical data | communicating with colleagues and clients | complying with operational procedures | developing objectives and strategies | technical or academic writing | management skills | directing, supervising and coordinating projects","developing professional relationships or networks::0.133333 | implementing new procedures or processes::0.100000 | developing health programmes::0.100000 | analysing business operations::0.100000 | providing medical advice::0.066667 | conducting academic or market research::0.066667 | complying with health and safety procedures::0.066667 | advocating for individual or community needs::0.066667 | leading and motivating::0.033333 | collaborating and liaising::0.033333 | analysing scientific and medical data::0.033333 | communicating with colleagues and clients::0.033333 | complying with operational procedures::0.033333 | developing objectives and strategies::0.033333 | technical or academic writing::0.033333 | management skills::0.033333 | directing, supervising and coordinating projects::0.033333",17.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,9,0.25,2.111111111111111,0.25,4.5
2422.7,humanitarian advisor,humanitarian advisor,http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742,humanitarian advisor,"developing professional relationships or networks | monitoring developments in area of expertise | leading and motivating | communication, collaboration and creativity | mediating and resolving disputes | technical or academic writing | management skills | developing contingency and emergency response plans | advising and consulting | evaluating systems, programmes, equipment and products | working in teams | working with others | training on operational procedures | protecting privacy and personal data","developing professional relationships or networks::0.160000 | monitoring developments in area of expertise::0.080000 | leading and motivating::0.080000 | communication, collaboration and creativity::0.080000 | mediating and resolving disputes::0.080000 | technical or academic writing::0.080000 | management skills::0.080000 | developing contingency and emergency response plans::0.080000 | advising and consulting::0.080000 | evaluating systems, programmes, equipment and products::0.040000 | working in teams::0.040000 | working with others::0.040000 | training on operational procedures::0.040000 | protecting privacy and personal data::0.040000",14.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,2,1.5,1.5,1.25,1.75
2422.8,intelligence officer,intelligence officer,http://data.europa.eu/esco/occupation/4ca8ba6c-dc55-40c0-ae6c-d55c94dd2e03,intelligence officer,"advocating for individual or community needs | protecting privacy and personal data | maintaining and enforcing physical security | communicating with colleagues and clients | interviewing | monitoring safety or security | managing, gathering and storing digital data | conducting academic or market research | recording legal information | carrying out forensic and police investigations | maintaining operational records | supervising a team or group | verifying identities and documentation | technical or academic writing | presenting information in legal proceedings | ensuring compliance with legislation | listening and asking questions | presenting information","advocating for individual or community needs::0.096774 | protecting privacy and personal data::0.096774 | maintaining and enforcing physical security::0.064516 | communicating with colleagues and clients::0.064516 | interviewing::0.064516 | monitoring safety or security::0.064516 | managing, gathering and storing digital data::0.064516 | conducting academic or market research::0.064516 | recording legal information::0.064516 | carrying out forensic and police investigations::0.064516 | maintaining operational records::0.064516 | supervising a team or group::0.032258 | verifying identities and documentation::0.032258 | technical or academic writing::0.032258 | presenting information in legal proceedings::0.032258 | ensuring compliance with legislation::0.032258 | listening and asking questions::0.032258 | presenting information::0.032258",18.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,11,0.5,1.3863636363636365,0.25,2.5
2422.9,international relations officer,international relations officer,http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff,international relations officer,"developing professional relationships or networks | collaborating and liaising | mediating and resolving disputes | promoting products, services, or programs | monitoring developments in area of expertise | working with others | developing policies and legislation | developing instructive or promotional materials | developing operational policies and procedures | developing solutions | communicating with colleagues and clients | performing general clerical and administrative tasks | performing risk analysis and management | management skills | using foreign languages","developing professional relationships or networks::0.323529 | collaborating and liaising::0.117647 | mediating and resolving disputes::0.088235 | promoting products, services, or programs::0.058824 | monitoring developments in area of expertise::0.058824 | working with others::0.058824 | developing policies and legislation::0.058824 | developing instructive or promotional materials::0.029412 | developing operational policies and procedures::0.029412 | developing solutions::0.029412 | communicating with colleagues and clients::0.029412 | performing general clerical and administrative tasks::0.029412 | performing risk analysis and management::0.029412 | management skills::0.029412 | using foreign languages::0.029412",15.0,official_title_exact,2422,Policy Administration Professionals,isco4_candidate_requires_validation,8,2.0,2.84375,0.625,3.1875
2423,Personnel and careers professionals,personnel and careers professionals,,,,,,no_matrix_title_match,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,0,,,,
2423.1,career guidance advisor,career guidance advisor,http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e,career guidance advisor,"advising on educational or vocational matters | monitoring and evaluating the performance of individuals | coaching and mentoring | advising and consulting | developing professional relationships or networks | providing information to the public and clients | engaging with others to identify needs | providing financial advice | performing general clerical and administrative tasks | working with others | advocating for individual or community needs | monitoring operational activities | planning events and programmes | counselling on personal, family or social issues | listening and asking questions | monitoring developments in area of expertise | monitoring, inspecting and testing | technical or academic writing | promoting products, services, or programs | developing educational programmes | directing operational activities | developing solutions | collaborating and liaising | leading and motivating","advising on educational or vocational matters::0.116667 | monitoring and evaluating the performance of individuals::0.116667 | coaching and mentoring::0.100000 | advising and consulting::0.050000 | developing professional relationships or networks::0.050000 | providing information to the public and clients::0.050000 | engaging with others to identify needs::0.050000 | providing financial advice::0.033333 | performing general clerical and administrative tasks::0.033333 | working with others::0.033333 | advocating for individual or community needs::0.033333 | monitoring operational activities::0.033333 | planning events and programmes::0.033333 | counselling on personal, family or social issues::0.033333 | listening and asking questions::0.033333 | monitoring developments in area of expertise::0.033333 | monitoring, inspecting and testing::0.033333 | technical or academic writing::0.016667 | promoting products, services, or programs::0.016667 | developing educational programmes::0.016667 | directing operational activities::0.016667 | developing solutions::0.016667 | collaborating and liaising::0.016667 | leading and motivating::0.016667",24.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,7,1.0,1.75,0.375,2.875
2423.2,employment and vocational integration consultant,employment and vocational integration consultant,http://data.europa.eu/esco/occupation/e4112a88-973f-4c7a-97f5-2241e6b6833f,employment and vocational integration consultant,"protecting privacy and personal data | monitoring and evaluating the performance of individuals | teaching academic or vocational subjects | promoting products, services, or programs | communication, collaboration and creativity | interviewing | developing educational programmes | liaising and networking | developing professional relationships or networks | coaching and mentoring | advising on educational or vocational matters | planning events and programmes | engaging with others to identify needs | counselling on personal, family or social issues | listening and asking questions | maintaining operational records | performing general clerical and administrative tasks | collaborating and liaising | assisting and caring | teaching and training | recruiting and hiring | technical or academic writing | managing and administering human resources | negotiating and managing contracts and agreements","protecting privacy and personal data::0.086957 | monitoring and evaluating the performance of individuals::0.086957 | teaching academic or vocational subjects::0.065217 | promoting products, services, or programs::0.043478 | communication, collaboration and creativity::0.043478 | interviewing::0.043478 | developing educational programmes::0.043478 | liaising and networking::0.043478 | developing professional relationships or networks::0.043478 | coaching and mentoring::0.043478 | advising on educational or vocational matters::0.043478 | planning events and programmes::0.043478 | engaging with others to identify needs::0.043478 | counselling on personal, family or social issues::0.043478 | listening and asking questions::0.043478 | maintaining operational records::0.043478 | performing general clerical and administrative tasks::0.021739 | collaborating and liaising::0.021739 | assisting and caring::0.021739 | teaching and training::0.021739 | recruiting and hiring::0.021739 | technical or academic writing::0.021739 | managing and administering human resources::0.021739 | negotiating and managing contracts and agreements::0.021739",24.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,19,2.75,3.026315789473684,0.875,5.0
2423.3,human resources officer,human resources officer,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,human resources officer,"complying with operational procedures | managing and administering human resources | monitoring and evaluating the performance of individuals | recruiting and hiring | developing professional relationships or networks | planning events and programmes | interviewing | advocating for individual or community needs | negotiating and managing contracts and agreements | protecting privacy and personal data | technical or academic writing | maintaining operational records | communication, collaboration and creativity | listening and asking questions | coaching and mentoring | liaising and networking | promoting products, services, or programs | training on operational procedures | collaborating and liaising | gathering information from physical or electronic sources | developing operational policies and procedures | managing budgets or finances | monitoring operational activities | counselling on personal, family or social issues","complying with operational procedures::0.090909 | managing and administering human resources::0.090909 | monitoring and evaluating the performance of individuals::0.090909 | recruiting and hiring::0.072727 | developing professional relationships or networks::0.072727 | planning events and programmes::0.054545 | interviewing::0.036364 | advocating for individual or community needs::0.036364 | negotiating and managing contracts and agreements::0.036364 | protecting privacy and personal data::0.036364 | technical or academic writing::0.036364 | maintaining operational records::0.036364 | communication, collaboration and creativity::0.036364 | listening and asking questions::0.036364 | coaching and mentoring::0.036364 | liaising and networking::0.018182 | promoting products, services, or programs::0.018182 | training on operational procedures::0.018182 | collaborating and liaising::0.018182 | gathering information from physical or electronic sources::0.018182 | developing operational policies and procedures::0.018182 | managing budgets or finances::0.018182 | monitoring operational activities::0.018182 | counselling on personal, family or social issues::0.018182",24.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,31,1.25,2.975806451612903,0.75,3.5
2423.4,labour relations officer,labour relations officer,http://data.europa.eu/esco/occupation/20b9f370-6b56-4679-8c06-c23b866a5bd0,labour relations officer,"developing professional relationships or networks | advising on business or operational matters | mediating and resolving disputes | complying with operational procedures | monitoring operational activities | developing operational policies and procedures | gathering information from physical or electronic sources | advocating for individual or community needs | advising on legal, regulatory or procedural matters | providing information to the public and clients | collaborating and liaising | developing solutions | management skills","developing professional relationships or networks::0.236842 | advising on business or operational matters::0.157895 | mediating and resolving disputes::0.157895 | complying with operational procedures::0.078947 | monitoring operational activities::0.078947 | developing operational policies and procedures::0.052632 | gathering information from physical or electronic sources::0.052632 | advocating for individual or community needs::0.052632 | advising on legal, regulatory or procedural matters::0.026316 | providing information to the public and clients::0.026316 | collaborating and liaising::0.026316 | developing solutions::0.026316 | management skills::0.026316",13.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,7,1.0,3.5357142857142856,0.75,4.375
2423.5,occupational analyst,occupational analyst,http://data.europa.eu/esco/occupation/6d03eaef-1ce5-4a1e-bb41-0908e1af1b65,occupational analyst,"technical or academic writing | advising on business or operational matters | collaborating and liaising | conducting academic or market research | presenting general information | documenting technical designs, procedures, problems or activities | designing systems and products | managing information | interviewing | assisting and supporting co-workers | managing and administering human resources | gathering information from physical or electronic sources | training on operational procedures | developing instructive or promotional materials | recruiting and hiring | developing educational programmes | planning events and programmes | conducting studies, investigations and examinations | performing general clerical and administrative tasks | monitoring and evaluating the performance of individuals | maintaining operational records","technical or academic writing::0.114286 | advising on business or operational matters::0.114286 | collaborating and liaising::0.114286 | conducting academic or market research::0.057143 | presenting general information::0.057143 | documenting technical designs, procedures, problems or activities::0.057143 | designing systems and products::0.057143 | managing information::0.057143 | interviewing::0.028571 | assisting and supporting co-workers::0.028571 | managing and administering human resources::0.028571 | gathering information from physical or electronic sources::0.028571 | training on operational procedures::0.028571 | developing instructive or promotional materials::0.028571 | recruiting and hiring::0.028571 | developing educational programmes::0.028571 | planning events and programmes::0.028571 | conducting studies, investigations and examinations::0.028571 | performing general clerical and administrative tasks::0.028571 | monitoring and evaluating the performance of individuals::0.028571 | maintaining operational records::0.028571",21.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,10,0.875,1.65,0.25,1.1875
2423.6,recruitment consultant,recruitment consultant,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,recruitment consultant,"protecting privacy and personal data | recruiting and hiring | developing professional relationships or networks | planning events and programmes | monitoring and evaluating the performance of individuals | promoting products, services, or programs | advising on educational or vocational matters | interviewing | managing and administering human resources | complying with operational procedures | liaising and networking | maintaining operational records | communication, collaboration and creativity | developing operational policies and procedures | engaging with others to identify needs | listening and asking questions | coaching and mentoring | analysing business operations | performing general clerical and administrative tasks | collaborating and liaising | technical or academic writing | counselling on personal, family or social issues | negotiating and managing contracts and agreements | advocating for individual or community needs","protecting privacy and personal data::0.080000 | recruiting and hiring::0.080000 | developing professional relationships or networks::0.080000 | planning events and programmes::0.060000 | monitoring and evaluating the performance of individuals::0.060000 | promoting products, services, or programs::0.040000 | advising on educational or vocational matters::0.040000 | interviewing::0.040000 | managing and administering human resources::0.040000 | complying with operational procedures::0.040000 | liaising and networking::0.040000 | maintaining operational records::0.040000 | communication, collaboration and creativity::0.040000 | developing operational policies and procedures::0.040000 | engaging with others to identify needs::0.040000 | listening and asking questions::0.040000 | coaching and mentoring::0.040000 | analysing business operations::0.020000 | performing general clerical and administrative tasks::0.020000 | collaborating and liaising::0.020000 | technical or academic writing::0.020000 | counselling on personal, family or social issues::0.020000 | negotiating and managing contracts and agreements::0.020000 | advocating for individual or community needs::0.020000",24.0,official_title_exact,2423,Personnel And Career Professionals,isco4_candidate_requires_validation,198,1.0,1.2525252525252526,0.25,1.25
2424,Training and staff development professionals,training and staff development professionals,,,,,,no_matrix_title_match,2424,Training And Staff Development Professionals,isco4_candidate_requires_validation,0,,,,
2424.1,business coach,business coach,http://data.europa.eu/esco/occupation/d9612966-e295-4d81-ba2b-9f36bad0b392,business coach,coaching and mentoring | giving feedback | presenting general information | teaching and training | monitoring and evaluating the performance of individuals | advising on business or operational matters | supervising a team or group | developing educational programmes | monitoring operational activities | analysing business operations | engaging with others to identify needs | leading and motivating | training on operational procedures,coaching and mentoring::0.214286 | giving feedback::0.142857 | presenting general information::0.071429 | teaching and training::0.071429 | monitoring and evaluating the performance of individuals::0.071429 | advising on business or operational matters::0.071429 | supervising a team or group::0.071429 | developing educational programmes::0.071429 | monitoring operational activities::0.071429 | analysing business operations::0.035714 | engaging with others to identify needs::0.035714 | leading and motivating::0.035714 | training on operational procedures::0.035714,13.0,official_title_exact,2424,Training And Staff Development Professionals,isco4_candidate_requires_validation,28,1.75,2.8214285714285716,1.0,3.3125
